m/z,R00X103Y045,R00X097Y046,R00X146Y046,R00X147Y047,R00X163Y048,R00X166Y048,R00X178Y048,R00X250Y048,R00X101Y049,R00X188Y049,R00X215Y049,R00X095Y050,R00X133Y050,R00X145Y050,R00X151Y050,R00X188Y050,R00X192Y050,R00X112Y051,R00X198Y051,R00X256Y051,R00X266Y051,R00X126Y052,R00X144Y052,R00X144Y053,R00X165Y053,R00X168Y053,R00X185Y053,R00X257Y053,R00X117Y054,R00X155Y054,R00X208Y054,R00X247Y054,R00X092Y055,R00X249Y055,R00X158Y056,R00X181Y056,R00X256Y056,R00X258Y056,R00X115Y058,R00X200Y058,R00X246Y058,R00X255Y058,R00X167Y059,R00X111Y060,R00X125Y060,R00X162Y060,R00X171Y060,R00X091Y061,R00X131Y061,R00X163Y061,R00X187Y061,R00X228Y061,R00X240Y061,R00X134Y062,R00X165Y062,R00X296Y062,R00X240Y063,R00X131Y064,R00X147Y064,R00X164Y064,R00X198Y064,R00X202Y064,R00X082Y065,R00X092Y065,R00X103Y065,R00X172Y065,R00X185Y065,R00X203Y065,R00X241Y065,R00X243Y065,R00X085Y066,R00X113Y066,R00X176Y066,R00X187Y066,R00X206Y066,R00X238Y066,R00X240Y066,R00X174Y067,R00X176Y067,R00X081Y068,R00X168Y068,R00X090Y069,R00X108Y069,R00X193Y069,R00X198Y069,R00X239Y069,R00X257Y069,R00X129Y070,R00X154Y070,R00X170Y070,R00X096Y071,R00X099Y072,R00X130Y072,R00X141Y072,R00X143Y072,R00X144Y072,R00X147Y072,R00X212Y072,R00X235Y072,R00X084Y073,R00X104Y073,R00X186Y073,R00X221Y073,R00X064Y074,R00X131Y074,R00X201Y074,R00X262Y074,R00X290Y074,R00X147Y075,R00X170Y075,R00X188Y075,R00X218Y075,R00X117Y076,R00X244Y076,R00X100Y077,R00X231Y077,R00X272Y077,R00X072Y078,R00X116Y078,R00X168Y078,R00X188Y078,R00X091Y080,R00X094Y080,R00X242Y080,R00X141Y081,R00X164Y081,R00X243Y081,R00X142Y082,R00X182Y082,R00X164Y083,R00X175Y083,R00X240Y083,R00X154Y084,R00X156Y084,R00X231Y084,R00X175Y085,R00X228Y086,R00X236Y086,R00X213Y087,R00X234Y087,R00X236Y087,R00X298Y087,R00X233Y089
1280.02,0.0,441954.5625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,491283.0625,0.0,0.0,0.0,0.0,0.0,298963.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,452026.875,0.0,0.0,0.0,0.0,0.0,0.0,274433.15625,0.0,418794.03125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1280.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,756612.8125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,303348.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1280.12,0.0,0.0,0.0,0.0,474533.1875,0.0,0.0,0.0,378079.75,477496.875,0.0,0.0,0.0,264066.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,322833.53125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,340746.40625,0.0,0.0,0.0,0.0,313759.34375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,403404.0625,533916.9375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,408268.6875,464936.0
1280.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,881088.6875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1280.25,0.0,499487.75,0.0,0.0,0.0,456028.5,0.0,480939.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,457361.4375,0.0,0.0,343194.0625,360306.8125,0.0,0.0,456739.9375,0.0,0.0,0.0,754049.3125,0.0,411799.21875,924013.8125,0.0,0.0,513183.53125,707859.3125,302119.1875,528527.375,403028.03125,0.0,0.0,0.0,1108587.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,614599.1875,603678.0,0.0,0.0,448176.6875,0.0,0.0,0.0,0.0,0.0,0.0,1263385.9375,513724.125,0.0,0.0,0.0,267923.40625,1326206.125,1018850.4375,0.0,990507.6875,0.0,924796.1875,0.0,0.0,1735803.625,693794.3125,381642.90625,0.0,0.0,456177.3125,0.0,0.0,759505.5,599513.375,302045.375,0.0,0.0,0.0,693684.625,0.0,0.0,0.0,0.0,414450.40625,0.0,0.0,0.0,1864958.875,0.0,0.0,0.0,241856.484375,0.0,330086.8125,0.0,836465.3125,511110.84375,0.0,696688.375,0.0,1606612.0,0.0,0.0,0.0,0.0,1553826.875,0.0,946026.0625,530543.6875,0.0,0.0,0.0,0.0,2177946.25,0.0,0.0,562432.5625,0.0,0.0,0.0,616956.8125,0.0,0.0,1075120.8125,1361192.625,0.0,0.0,0.0,0.0,316035.71875,0.0
1280.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,410915.90625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1280.37,0.0,0.0,0.0,0.0,847406.6875,0.0,360758.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,354587.53125,0.0,475591.625,0.0,0.0,0.0,740555.625,0.0,0.0,0.0,654814.125,0.0,0.0,0.0,0.0,0.0,877952.1875,0.0,0.0,521321.59375,359320.25,0.0,0.0,0.0,0.0,0.0,764419.4375,0.0,0.0,0.0,0.0,833222.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,497221.34375,0.0,0.0,0.0,452894.25,268144.90625,0.0,564420.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,783411.125,532267.3125,0.0,0.0,481388.96875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,443414.5,572603.9375,0.0,0.0,406486.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,794537.875,0.0,0.0,0.0,0.0,480311.8125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,737768.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,333321.6875,0.0,0.0
1280.62,0.0,763441.5,722223.125,0.0,714974.6875,1095941.28125,1332669.0,864882.5625,445916.6875,770652.1875,2313138.75,1252016.90625,435475.59375,689219.34375,0.0,1548804.15625,2034297.1875,2225311.3125,613399.625,0.0,0.0,2074543.8125,550121.1875,0.0,0.0,0.0,415033.6875,857946.0,1653412.9375,562559.5,785842.75,0.0,0.0,0.0,1480557.75,445653.46875,377109.15625,613187.875,4199937.75,0.0,483541.1875,1086575.875,0.0,0.0,486769.875,1273798.875,1367762.25,404843.4375,439851.5,0.0,2623920.5,1257904.875,957112.5625,351054.65625,1509445.5625,557170.9375,490105.21875,385279.1875,2418042.75,1182947.9375,427809.6875,628728.40625,2726235.5,883583.5,0.0,2297899.875,699296.4375,758361.875,545389.25,0.0,1823362.0625,0.0,835132.5625,0.0,429758.09375,355204.53125,2272591.875,2604645.625,851099.03125,1580647.8125,359200.6875,320430.03125,1093330.375,485312.90625,0.0,1747747.0625,678352.75,0.0,504065.0625,601644.625,1547397.25,2955900.5,1380010.8125,4216649.375,1695329.28125,684218.6875,800316.625,0.0,0.0,0.0,3293586.0625,1227393.3125,0.0,346354.25,682873.3125,0.0,443301.6875,0.0,476956.46875,390520.03125,0.0,0.0,3792828.3125,0.0,3107980.5,2382514.9375,0.0,0.0,457048.21875,399745.375,0.0,502962.9375,715462.1875,637555.9375,1126375.875,0.0,0.0,1300359.625,420402.375,400498.15625,2220882.9375,0.0,1355495.1875,1045998.625,0.0,1256999.4375,0.0,445253.78125,517362.84375,417818.0625,793782.21875,419495.34375,0.0
1280.87,0.0,2456017.84375,456411.875,0.0,524296.0625,419661.5625,0.0,498031.09375,450691.59375,2262532.5,1101398.0,0.0,0.0,299351.375,0.0,808539.75,2183906.5625,401057.1875,366890.75,0.0,0.0,2716284.5,617953.5,0.0,0.0,1126261.46875,1297805.28125,0.0,804845.5,0.0,735486.125,515608.78125,596732.5625,0.0,781758.6875,838527.6875,520326.4375,889074.71875,2988331.875,0.0,507727.0625,0.0,2038200.09375,0.0,524603.0625,428508.6875,1543821.5625,0.0,413590.53125,341716.15625,1976114.8125,1996254.875,1925306.5,898502.25,1095855.46875,416966.28125,0.0,1602123.03125,1475967.5,0.0,954255.5625,680075.875,1334765.25,0.0,0.0,597853.5,3373034.4375,748199.03125,1949092.875,0.0,0.0,0.0,989768.5625,2016086.5,830366.46875,1243546.9375,1972012.75,2198493.625,1824655.03125,799335.6875,583701.375,0.0,1870022.75,0.0,0.0,2685982.65625,1128683.90625,778912.9375,984224.25,0.0,2529402.875,2552626.875,1955053.1875,3455114.125,0.0,400152.84375,0.0,0.0,2261975.75,0.0,2017427.0,1012354.65625,0.0,0.0,963258.25,695556.3125,0.0,0.0,0.0,642803.375,1021163.4375,0.0,0.0,0.0,1434550.0,2635642.9375,525441.625,717257.8125,1071256.28125,1032380.65625,489237.78125,0.0,1367559.75,605953.8125,1131001.28125,0.0,0.0,0.0,929328.34375,585805.0625,0.0,0.0,507712.59375,753149.9375,353548.5625,0.0,2161740.5,383298.46875,502273.28125,0.0,0.0,0.0,1061971.90625
1280.97,780200.875,1838591.6875,569069.8125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,432893.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,509462.0,460034.84375,674654.875,0.0,0.0,0.0,392187.53125,0.0,0.0,0.0,0.0,0.0,564422.4375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,633455.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,319529.84375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,350311.03125,0.0,1289330.9375,533908.6875,522159.28125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,407636.5,0.0,0.0,312413.84375,471945.28125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,486827.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,325320.15625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1281.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,331410.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,325928.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,397271.4375,0.0,0.0,0.0,0.0,0.0,0.0,247718.09375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,319001.0625,0.0,0.0,301429.84375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1281.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,553431.6875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,379858.84375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1281.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,833937.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,497130.71875,0.0,0.0,431699.71875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1281.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,483703.3125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,435988.4375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1281.12,0.0,583274.3125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,460912.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,575970.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,372530.28125,0.0,0.0,422642.84375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1281.28,0.0,0.0,582820.125,0.0,0.0,0.0,347693.15625,517399.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,963352.1875,0.0,0.0,432246.96875,755443.0,0.0,951953.0625,0.0,653903.1875,792035.4375,0.0,0.0,0.0,0.0,957948.5,459825.25,0.0,0.0,0.0,0.0,0.0,0.0,1624784.75,0.0,1447342.125,0.0,623147.59375,0.0,0.0,702477.6875,0.0,0.0,0.0,0.0,1276894.125,0.0,294883.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,301473.5,637563.0,0.0,0.0,786876.0625,759065.9375,380043.28125,666820.625,1024584.3125,773408.96875,0.0,0.0,0.0,0.0,659696.0,1093821.125,529472.0625,370158.28125,0.0,425350.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,577360.5625,0.0,0.0,0.0,456631.3125,0.0,455799.875,0.0,0.0,0.0,652721.625,2184983.5,0.0,0.0,0.0,0.0,275990.28125,0.0,0.0,0.0,0.0,0.0,379120.25,0.0,1070452.25,0.0,0.0,0.0,0.0,841987.75,0.0,0.0,0.0,1044333.96875,610882.25,0.0,589983.6875,1738839.625,0.0,744628.5625,382801.9375,332552.15625,523275.09375,0.0,509368.15625,0.0,0.0,0.0,1523905.5,0.0,0.0,0.0,0.0,0.0,973840.75
1281.37,0.0,0.0,0.0,0.0,0.0,0.0,360564.03125,0.0,0.0,579688.125,0.0,476356.46875,0.0,0.0,0.0,0.0,430295.75,573156.8125,0.0,0.0,0.0,1252810.4375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1205954.5625,0.0,0.0,0.0,0.0,0.0,0.0,414269.15625,893839.4375,450951.0625,0.0,0.0,0.0,0.0,0.0,0.0,597883.0,0.0,0.0,0.0,684388.875,0.0,0.0,329980.65625,563155.4375,0.0,0.0,0.0,1819882.125,0.0,542057.9375,0.0,432957.9375,0.0,0.0,0.0,0.0,283507.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,377825.375,0.0,0.0,0.0,710559.9375,0.0,0.0,0.0,0.0,402486.5625,0.0,0.0,0.0,0.0,0.0,395591.75,0.0,0.0,0.0,0.0,0.0,0.0,444890.90625,0.0,1035538.75,0.0,0.0,1074843.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,556017.1875,633964.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1281.62,850869.53125,0.0,603917.375,0.0,4144059.6875,1089847.625,0.0,588356.75,1057360.25,647484.0,3340593.5625,1002854.375,0.0,343667.5,483868.0625,920401.03125,1282925.03125,0.0,2321860.75,1078977.59375,0.0,1992687.5,299533.5,0.0,0.0,844439.65625,0.0,415494.71875,345264.15625,583566.6875,0.0,0.0,1038619.5625,551401.3125,603825.375,0.0,537804.125,973883.09375,5076832.0625,0.0,1136795.71875,2894185.9375,343196.40625,530291.1875,584491.8125,0.0,0.0,757270.53125,704001.9375,810239.375,735002.375,981565.25,1650458.0625,332208.5625,658431.5625,0.0,943511.4375,0.0,1482965.625,874995.71875,0.0,718229.03125,1978350.40625,2064841.1875,548449.78125,1959852.375,1584516.75,0.0,1409514.9375,0.0,550895.75,0.0,0.0,529773.4375,348494.28125,667657.5625,0.0,1342562.25,554760.8125,1571794.34375,547290.8125,792623.0,1016048.4375,0.0,0.0,2209150.25,318051.96875,632423.75,2242466.375,880921.65625,3104940.0625,2794452.1875,1730130.375,1524344.5,712058.75,501583.96875,432261.0625,989063.1875,0.0,942052.75,5152776.4375,924415.25,0.0,0.0,1154536.25,0.0,0.0,525736.3125,409530.0,343279.0625,420194.3125,0.0,1701441.75,0.0,6230768.1875,3903958.4375,0.0,599150.9375,484994.9375,920322.8125,1053742.03125,340813.6875,1906883.0,1197047.4375,1783168.21875,0.0,0.0,689985.0625,1419320.59375,1596080.03125,1184228.4375,289134.71875,1509242.25,2341997.5625,725549.09375,568805.75,0.0,727241.5,593197.0,0.0,513045.5,360850.40625,956473.53125
1281.87,0.0,538755.0,1348482.75,0.0,852843.875,526537.625,1073325.84375,565872.5,0.0,1963173.5,3251327.625,570400.3125,701854.875,0.0,787975.5,676604.0625,1675070.34375,0.0,0.0,0.0,0.0,2115151.625,1086105.03125,952308.625,0.0,1438035.25,465258.9375,574767.5625,322589.5,488527.03125,946004.125,600649.5625,0.0,751717.125,638392.75,347230.34375,0.0,451449.84375,2163874.0,0.0,0.0,0.0,1155136.40625,345369.96875,0.0,0.0,517902.03125,373773.0625,1383660.15625,318543.25,3781070.4375,1524570.5,743026.4375,1653342.125,0.0,620403.8125,0.0,0.0,0.0,704621.96875,968681.09375,873663.34375,1712708.4375,736517.5,338385.78125,1878829.625,2055563.25,0.0,1986817.0625,0.0,1532392.75,0.0,0.0,621862.8125,774043.09375,809396.3125,2502859.3125,2016342.875,831978.8125,0.0,724587.5,1015691.09375,991419.4375,0.0,603394.1875,2706948.125,463040.03125,0.0,816965.65625,863878.375,4154478.75,878680.625,1625853.8125,2778053.5,697183.125,1270975.59375,0.0,443842.28125,1677937.0,0.0,0.0,868723.9375,0.0,0.0,506609.625,0.0,0.0,843051.8125,0.0,520031.46875,394339.96875,0.0,0.0,0.0,1177434.625,3351559.5,0.0,676482.0625,431632.53125,0.0,1381970.3125,0.0,2300330.875,782439.875,325305.46875,0.0,0.0,626587.625,555709.125,743085.03125,0.0,0.0,572485.375,807296.875,0.0,0.0,0.0,540688.5625,1099127.0,479432.46875,0.0,0.0,561305.875
1281.89,0.0,755412.8125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,432063.78125,523593.0625,0.0,0.0,0.0,0.0,0.0,501978.4375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,347048.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,479366.65625,0.0,0.0,0.0,641153.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
