m/z,R00X150Y045,R00X096Y046,R00X134Y047,R00X226Y047,R00X094Y048,R00X120Y048,R00X169Y048,R00X190Y048,R00X225Y048,R00X231Y048,R00X263Y049,R00X278Y049,R00X171Y050,R00X223Y050,R00X264Y050,R00X276Y050,R00X284Y050,R00X299Y050,R00X088Y052,R00X278Y052,R00X293Y052,R00X186Y053,R00X266Y053,R00X300Y053,R00X224Y054,R00X273Y054,R00X291Y054,R00X171Y055,R00X143Y056,R00X224Y056,R00X080Y057,R00X154Y057,R00X261Y057,R00X266Y057,R00X273Y057,R00X289Y057,R00X131Y058,R00X142Y058,R00X152Y058,R00X272Y058,R00X080Y059,R00X117Y059,R00X205Y059,R00X269Y059,R00X270Y059,R00X292Y059,R00X186Y060,R00X288Y060,R00X289Y060,R00X079Y061,R00X193Y061,R00X233Y061,R00X269Y061,R00X276Y061,R00X288Y061,R00X128Y062,R00X212Y062,R00X277Y063,R00X157Y064,R00X199Y064,R00X229Y064,R00X269Y064,R00X279Y064,R00X143Y065,R00X153Y065,R00X186Y065,R00X206Y065,R00X213Y065,R00X267Y065,R00X282Y065,R00X069Y066,R00X077Y066,R00X115Y066,R00X299Y066,R00X077Y067,R00X137Y067,R00X165Y067,R00X167Y067,R00X260Y067,R00X190Y068,R00X242Y068,R00X267Y068,R00X253Y070,R00X281Y070,R00X066Y072,R00X072Y072,R00X220Y072,R00X270Y072,R00X281Y072,R00X068Y073,R00X222Y073,R00X210Y075,R00X226Y075,R00X249Y075,R00X170Y076,R00X196Y076,R00X225Y076,R00X284Y076,R00X295Y076,R00X152Y077,R00X181Y077,R00X196Y077,R00X202Y077,R00X203Y079,R00X212Y079,R00X255Y079,R00X154Y080,R00X202Y080,R00X275Y080,R00X277Y080,R00X128Y081,R00X177Y081,R00X292Y081,R00X132Y083,R00X276Y083,R00X273Y084,R00X292Y084,R00X157Y085,R00X160Y085,R00X219Y085,R00X210Y086,R00X220Y086,R00X246Y087,R00X254Y087,R00X268Y087,R00X283Y087,R00X253Y089,R00X268Y089,R00X247Y090,R00X253Y090,R00X258Y090
1280.0,339486.96875,0.0,0.0,0.0,0.0,0.0,434145.1875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,332574.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,166151.125,0.0,0.0,0.0,0.0,0.0,246002.28125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1280.06,0.0,0.0,0.0,355884.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,568225.75,439472.78125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,425291.8125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,445944.3125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,514096.09375,0.0,0.0,0.0,446827.03125,345144.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,359514.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,529026.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1280.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,390698.9375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,475785.15625,0.0,543740.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,261693.046875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,429176.15625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,398840.03125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1280.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,444818.15625,0.0,0.0,551935.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,695635.375,0.0,0.0,728217.5,0.0,509190.28125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,270503.34375,502474.78125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,491899.96875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,316382.03125,0.0,0.0,0.0,436475.34375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,345280.40625,1016840.5,346763.75
1280.31,0.0,0.0,440657.5,0.0,0.0,0.0,0.0,0.0,0.0,485865.84375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,990950.5,398500.75,604919.8125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,783273.4375,611833.4375,500281.9375,0.0,0.0,0.0,0.0,699561.9375,0.0,0.0,0.0,0.0,0.0,2376848.375,447014.25,0.0,0.0,0.0,491222.03125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,444144.15625,0.0,0.0,0.0,580440.0,263008.9375,0.0,0.0,0.0,463393.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,515047.96875,0.0,681233.75,356746.6875,512967.34375,379697.15625,0.0,421930.5625,0.0,387483.375,0.0,0.0,702982.625,0.0,0.0,1180135.03125,0.0,0.0,0.0,0.0,314392.75,0.0,0.0,0.0,0.0,0.0,0.0,846707.8125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,749888.125,0.0,0.0,0.0,571507.75,0.0,0.0,0.0,0.0,0.0,0.0,339910.6875,0.0,446485.28125
1280.37,0.0,837014.5625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,670735.5,831221.1875,0.0,0.0,0.0,1057862.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,784910.9375,0.0,0.0,0.0,0.0,0.0,0.0,435122.34375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,692695.25,0.0,0.0,0.0,0.0,0.0,0.0,452908.21875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,247463.140625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,621431.5625,439038.4375,0.0,0.0,0.0,0.0,672084.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,497678.21875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,560099.375,0.0,0.0,0.0,0.0,321509.96875,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1280.62,0.0,1662186.34375,474559.84375,376888.40625,477450.28125,645181.25,1049768.78125,0.0,0.0,1393668.8125,1650155.125,1256213.5625,1804733.75,482246.0625,903451.4375,526326.625,0.0,2065361.15625,409789.96875,615087.625,518197.84375,812236.625,430348.09375,1114438.125,328627.78125,5280087.75,0.0,360795.875,1673513.5625,0.0,1514443.25,0.0,479914.0625,3887552.0,672140.625,516601.9375,0.0,0.0,1074237.75,1041593.9375,3256853.9375,0.0,5431750.5,436611.59375,552604.625,379644.15625,1391304.625,0.0,1627623.125,480137.71875,992205.09375,0.0,1130519.0,1302287.0625,0.0,0.0,0.0,1310900.75,1063346.96875,451777.46875,912312.9375,812443.0625,0.0,429225.0,0.0,1579241.75,0.0,2206884.40625,0.0,0.0,2402395.1875,2319525.625,0.0,0.0,1258411.5,1437433.53125,1656323.75,344467.8125,419916.6875,337310.6875,0.0,410252.0625,1822828.53125,870936.3125,502131.0625,330209.6875,2200971.0625,0.0,0.0,1819929.8125,1707467.125,0.0,1573111.3125,950474.8125,499782.4375,0.0,411382.3125,1484790.4375,2906686.25,473433.90625,1587192.75,0.0,843318.5,0.0,1348446.21875,1069356.0,404448.8125,1405847.9375,0.0,668315.6875,377866.3125,384541.8125,2779604.5625,0.0,1364802.5,810196.3125,1619400.3125,1503934.3125,3225243.875,655476.6875,520102.6875,4215819.0,0.0,0.0,689211.1875,0.0,1132016.4375,719151.96875,1988918.96875,1478743.4375,1075960.90625
1280.79,1137292.25,508575.09375,532767.8125,746253.96875,458507.0,426659.28125,795749.4375,509392.625,0.0,486235.34375,1236981.375,460356.40625,0.0,0.0,0.0,0.0,0.0,450154.8125,399961.5,783329.9375,0.0,0.0,887357.8125,672279.125,0.0,2494669.5625,744697.5,0.0,0.0,0.0,1404055.3125,0.0,0.0,1890583.1875,0.0,0.0,537931.3125,398076.46875,500290.375,1674356.90625,1703909.5,0.0,2060192.125,0.0,0.0,586148.375,0.0,768665.78125,1357201.625,482906.03125,0.0,0.0,499154.21875,591864.125,0.0,579481.0625,268678.09375,527304.1875,1048825.8125,0.0,1520873.59375,0.0,0.0,930662.5625,0.0,1034357.53125,0.0,456333.9375,0.0,0.0,473469.0625,425098.5625,0.0,0.0,519342.25,0.0,0.0,335214.09375,0.0,0.0,0.0,600936.8125,530598.8125,0.0,1152760.0625,308706.5,2671104.25,518085.25,0.0,1099575.25,574321.0,0.0,616196.25,394020.71875,474980.4375,0.0,374313.65625,1403862.8125,0.0,0.0,1341423.0,0.0,0.0,0.0,0.0,1693329.6875,0.0,0.0,0.0,751448.1875,0.0,462766.0,981481.1875,0.0,560397.8125,0.0,683846.5625,2666353.875,599485.5625,953093.53125,0.0,2029775.1875,0.0,0.0,915965.8125,441737.09375,0.0,0.0,0.0,2698872.75,0.0
1280.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500899.84375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,353071.90625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,811461.9375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,394438.59375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,397168.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,755321.625,516270.90625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1280.87,0.0,0.0,0.0,0.0,486435.75,0.0,617859.25,0.0,0.0,1736728.125,1273452.5,0.0,0.0,0.0,1063245.75,0.0,0.0,0.0,0.0,413881.5625,0.0,0.0,0.0,487888.875,0.0,0.0,0.0,382647.46875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1777873.625,0.0,0.0,0.0,0.0,0.0,5457146.5,0.0,422636.59375,0.0,602967.8125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,234409.84375,0.0,0.0,2325278.75,0.0,0.0,0.0,0.0,0.0,569627.625,0.0,538560.8125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,655001.875,0.0,0.0,609840.9375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,777512.75,802120.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,922180.75,0.0,0.0,0.0,0.0,0.0,0.0,640930.875,0.0,0.0,0.0,485960.0625,0.0,479218.875,669017.1875,0.0,0.0,0.0,471790.65625,0.0,0.0,0.0,1794475.875,361618.15625
1280.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,454425.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,550209.9375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,439775.28125,0.0,630352.1875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1280.94,0.0,0.0,0.0,0.0,581645.75,612862.1875,0.0,439207.5625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,781792.25,465821.8125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,761697.6875,0.0,0.0,0.0,432667.59375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,801514.375,0.0,0.0,0.0,0.0,1312128.625,0.0,0.0,302817.96875,447205.84375,457348.25,0.0,0.0,456970.90625,0.0,0.0,0.0,0.0,0.0,0.0,374442.71875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,392662.0,551254.125,0.0,0.0,0.0,0.0,0.0,324533.84375
1280.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,437451.5625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,501444.34375,0.0,444335.5625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1281.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,498172.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,700594.5625,0.0,0.0,0.0,525701.5625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1281.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,524011.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1281.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,270688.71875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,348038.46875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,267065.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,314107.15625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,285526.125,0.0,0.0,0.0
1281.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,470363.90625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,531678.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1281.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,454403.9375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1281.37,0.0,944908.6875,0.0,479885.59375,0.0,0.0,0.0,396685.53125,0.0,1228372.25,1565962.625,1000488.5,523937.875,619831.875,0.0,969093.6875,0.0,0.0,0.0,0.0,536817.3125,0.0,0.0,0.0,518534.4375,531282.1875,0.0,0.0,573176.5625,0.0,0.0,392712.5,0.0,0.0,0.0,391175.625,0.0,531675.375,1004106.625,0.0,1352566.5,2595070.0625,0.0,405175.84375,351926.96875,552062.375,633915.0625,422987.28125,498303.8125,416927.375,0.0,0.0,0.0,1108457.375,1416408.90625,0.0,295251.5625,0.0,428021.0,0.0,0.0,0.0,0.0,0.0,421252.9375,1214836.125,357729.78125,499244.09375,0.0,0.0,0.0,0.0,900555.21875,444216.3125,1185209.40625,563707.3125,0.0,394742.34375,0.0,686363.625,0.0,914791.53125,0.0,1687657.3125,0.0,383233.5,552439.5,0.0,0.0,421822.8125,0.0,247720.421875,663353.9375,0.0,0.0,0.0,0.0,435665.0625,0.0,0.0,623049.1875,0.0,399789.90625,490198.21875,394922.78125,587048.5,0.0,0.0,0.0,0.0,373633.1875,336772.5625,0.0,1303710.125,1250589.875,961558.15625,652591.125,0.0,523410.59375,0.0,0.0,0.0,0.0,0.0,797378.0625,327924.875,0.0,0.0,0.0,0.0,419179.4375
1281.62,418320.96875,1040697.90625,754163.6875,757389.375,861877.3125,595217.25,0.0,1545861.34375,0.0,1275282.8125,2224234.96875,605390.4375,1130969.8125,2370236.875,1536245.0,688632.0,0.0,1100984.46875,489291.53125,1994817.625,844424.5,0.0,769334.25,2066340.6875,0.0,1837399.0,609784.8125,385183.375,3031807.5,695256.0625,2387001.1875,0.0,909613.59375,6148523.875,1436508.625,1026810.5,1557495.34375,0.0,570863.0,1174068.5,2268162.8125,0.0,2625492.5625,656075.25,1373854.34375,369365.5,3530909.0,834960.0,386719.28125,1248965.625,0.0,0.0,436844.0,764944.8125,1136451.4375,337517.21875,0.0,1620424.34375,695119.15625,592435.125,0.0,660607.125,0.0,0.0,1957704.90625,756461.75,371649.8125,1090227.8125,779283.4375,0.0,1118947.15625,1166002.53125,0.0,485950.5625,601387.1875,2084548.90625,1169595.9375,829002.0,0.0,1338650.40625,0.0,814060.0625,3284686.0,1630350.75,1543622.4375,675505.34375,1679121.25,0.0,0.0,1471653.4375,824882.25,0.0,2913039.25,460415.0625,432769.34375,0.0,464655.4375,1792939.125,2332908.25,550457.625,890505.6875,0.0,0.0,1066052.59375,383132.21875,472594.5625,0.0,1064833.5625,0.0,2547972.9375,414662.40625,448020.53125,1563483.6875,1766140.5,1076262.28125,0.0,1627415.1875,2224623.375,1805617.75,715988.6875,594746.0625,2205872.8125,0.0,376117.78125,615129.8125,673964.25,452313.8125,283692.71875,526230.3125,2549690.75,901859.625
1281.72,554206.1875,0.0,478712.375,0.0,0.0,0.0,512170.5,446532.28125,0.0,0.0,0.0,0.0,637132.75,0.0,0.0,0.0,0.0,582455.3125,634607.625,1219073.0625,0.0,351068.3125,728025.6875,710563.8125,0.0,1224874.25,0.0,0.0,0.0,752970.75,1300415.90625,0.0,459501.96875,933382.5625,0.0,0.0,385649.28125,0.0,0.0,0.0,761170.375,0.0,986387.0625,0.0,429759.78125,0.0,878886.25,756441.25,592016.5,574389.3125,0.0,0.0,446822.59375,469328.25,762547.6875,971646.34375,0.0,0.0,428927.25,0.0,397770.625,0.0,0.0,0.0,0.0,722212.5,668344.3125,0.0,654175.375,0.0,636704.75,409707.03125,0.0,0.0,722847.5,568868.875,1056627.71875,0.0,0.0,501539.4375,0.0,653732.5625,573746.25,0.0,2519545.125,0.0,450181.84375,0.0,0.0,0.0,563767.875,430135.625,606563.5,849082.125,536960.6875,1516389.125,0.0,668142.375,1392180.75,0.0,0.0,0.0,0.0,324153.4375,354508.5,0.0,0.0,558849.5,0.0,847283.0,394448.46875,293568.1875,0.0,0.0,717074.25,890044.0,1126869.5,1642869.125,1313452.875,768719.125,791598.375,1416523.25,0.0,0.0,0.0,0.0,0.0,0.0,706543.375,1754921.375,0.0
1281.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,444274.5,0.0,0.0,0.0,0.0,619317.8125,0.0,814354.375,0.0,0.0,0.0,0.0,0.0,477791.875,0.0,0.0,1072007.0625,0.0,0.0,0.0,0.0,578087.125,0.0,567611.625,0.0,0.0,0.0,381146.40625,0.0,382317.0,534852.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,399578.5625,0.0,0.0,424385.25,0.0,478331.3125,0.0,0.0,0.0,0.0,0.0,0.0,413728.0,0.0,0.0,0.0,418301.84375,0.0,500128.53125,559311.875,561100.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,527069.9375,0.0,682904.5,0.0,0.0,0.0,0.0,0.0,606936.25,0.0,0.0,4881688.5,0.0,0.0,0.0,0.0,662081.375,3076123.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,902372.5,1095812.0,0.0,0.0,641063.75,0.0,0.0,0.0,415898.59375,0.0,316399.375,348669.71875,0.0,0.0
