m/z,R00X098Y043,R00X150Y045,R00X107Y046,R00X111Y046,R00X122Y046,R00X135Y047,R00X206Y047,R00X184Y048,R00X227Y048,R00X230Y048,R00X253Y049,R00X263Y049,R00X278Y049,R00X096Y050,R00X141Y050,R00X171Y050,R00X223Y050,R00X245Y050,R00X270Y050,R00X299Y050,R00X142Y051,R00X143Y051,R00X196Y051,R00X272Y051,R00X276Y051,R00X290Y051,R00X293Y051,R00X090Y052,R00X116Y052,R00X133Y052,R00X156Y052,R00X279Y052,R00X293Y052,R00X242Y053,R00X274Y053,R00X293Y053,R00X299Y053,R00X300Y053,R00X089Y054,R00X107Y054,R00X224Y054,R00X273Y054,R00X279Y054,R00X291Y054,R00X082Y055,R00X085Y055,R00X294Y055,R00X217Y056,R00X281Y056,R00X293Y056,R00X164Y057,R00X181Y057,R00X216Y057,R00X223Y057,R00X270Y057,R00X233Y058,R00X238Y058,R00X277Y058,R00X182Y059,R00X225Y059,R00X239Y059,R00X271Y059,R00X287Y059,R00X294Y059,R00X133Y060,R00X200Y060,R00X266Y060,R00X277Y060,R00X290Y060,R00X224Y061,R00X288Y061,R00X295Y061,R00X211Y062,R00X212Y062,R00X233Y062,R00X258Y062,R00X230Y063,R00X288Y063,R00X158Y064,R00X200Y064,R00X215Y064,R00X233Y064,R00X262Y064,R00X269Y064,R00X295Y064,R00X184Y065,R00X077Y066,R00X152Y066,R00X153Y066,R00X264Y066,R00X277Y066,R00X283Y066,R00X077Y067,R00X123Y067,R00X185Y067,R00X262Y067,R00X281Y067,R00X158Y068,R00X215Y068,R00X226Y068,R00X252Y068,R00X253Y068,R00X273Y068,R00X279Y068,R00X283Y068,R00X070Y069,R00X099Y069,R00X280Y069,R00X221Y070,R00X247Y070,R00X251Y070,R00X281Y070,R00X066Y071,R00X071Y071,R00X174Y071,R00X255Y071,R00X283Y071,R00X069Y072,R00X066Y073,R00X069Y073,R00X137Y073,R00X225Y073,R00X260Y073,R00X274Y073,R00X065Y074,R00X176Y074,R00X271Y074,R00X069Y075,R00X087Y075,R00X126Y075,R00X220Y075,R00X253Y075,R00X274Y075,R00X291Y075,R00X073Y076,R00X147Y076,R00X178Y076,R00X211Y076,R00X220Y076,R00X295Y076,R00X067Y077,R00X112Y077,R00X115Y077,R00X291Y077,R00X074Y078,R00X257Y078,R00X110Y079,R00X136Y079,R00X150Y079,R00X175Y079,R00X255Y079,R00X276Y079,R00X112Y080,R00X122Y080,R00X148Y080,R00X154Y080,R00X214Y080,R00X254Y080,R00X292Y080,R00X113Y081,R00X128Y081,R00X134Y081,R00X221Y081,R00X221Y082,R00X293Y082,R00X297Y082,R00X273Y083,R00X220Y085,R00X250Y085,R00X268Y085,R00X269Y085,R00X297Y086,R00X200Y087,R00X202Y087,R00X244Y087,R00X263Y088,R00X249Y089,R00X253Y089,R00X251Y091
1280.07,0.0,339486.96875,0.0,0.0,373053.75,0.0,0.0,0.0,570647.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,306816.90625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,282679.46875,0.0,568225.75,0.0,0.0,439472.78125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,436170.46875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,330801.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84292.03125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1819681.375,0.0,0.0,0.0,0.0,0.0,108969.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,401316.53125,0.0,521135.53125,0.0,0.0,0.0
1280.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,543740.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,597684.5,0.0,0.0,0.0,0.0,533546.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,367724.90625,0.0,0.0,381158.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,353138.21875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,476464.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1280.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,551935.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,528764.0,443618.84375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,843574.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4224476.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,543960.875,0.0,0.0
1280.37,1671381.75,0.0,297964.5625,0.0,944310.75,0.0,849083.4375,669047.71875,473397.375,0.0,1191950.1875,831221.1875,0.0,696235.0,0.0,0.0,0.0,296827.90625,452085.90625,0.0,0.0,0.0,0.0,0.0,568359.25,721052.0,356729.0625,1623159.0625,678550.6875,372472.21875,0.0,0.0,0.0,791424.25,0.0,0.0,0.0,1775861.4375,0.0,545593.875,398500.75,604919.8125,623610.8125,0.0,1231780.875,0.0,0.0,0.0,0.0,0.0,449071.3125,0.0,1256553.71875,590976.875,0.0,0.0,349815.1875,402025.65625,564055.625,0.0,0.0,0.0,398929.5625,0.0,878048.09375,402831.53125,0.0,349687.78125,449542.875,392720.25,0.0,431190.6875,295990.03125,517966.484375,602302.1875,0.0,441604.8125,553083.4375,375612.9375,412311.3125,0.0,397770.875,525802.625,444144.15625,0.0,438245.75,0.0,0.0,0.0,1802004.375,0.0,478477.78125,0.0,0.0,429068.90625,1667831.34375,0.0,1020090.4375,495795.09375,0.0,0.0,359115.21875,0.0,452680.875,343894.78125,1105160.375,0.0,659239.6875,0.0,0.0,0.0,0.0,608506.375,991885.0625,592713.0,751474.09375,416486.71875,599148.25,0.0,871690.875,1704177.6875,1200591.4375,557664.25,0.0,685848.75,0.0,840012.65625,0.0,714128.875,0.0,0.0,1214347.375,945348.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,652187.625,0.0,0.0,0.0,0.0,5229427.125,701396.875,0.0,0.0,0.0,0.0,508187.75,0.0,1003915.4375,0.0,0.0,394871.125,0.0,0.0,0.0,0.0,1201974.125,0.0,462715.15625,650057.8125,317916.625,0.0,457211.78125,0.0,688964.75,374300.25,285735.84375,730919.6875,0.0,0.0,0.0,0.0,0.0,0.0
1280.62,2373440.5,0.0,278288.875,230995.921875,846769.125,0.0,0.0,772973.96875,684345.375,548573.6875,2226309.25,1650155.125,1256213.5625,0.0,0.0,1804733.75,482246.0625,0.0,1776266.90625,2065361.15625,988425.78125,571852.375,0.0,1009778.0,870178.4375,0.0,1133018.0625,2122299.8125,0.0,750303.5625,562448.125,365295.125,518197.84375,5999224.375,1448920.5,370454.0,0.0,1114438.125,0.0,550784.25,328627.78125,5280087.75,2267121.0625,0.0,2222063.125,0.0,1617129.0625,563474.75,1127170.46875,0.0,0.0,437288.5625,0.0,582197.5,678040.75,1285585.5,0.0,719637.46875,1184474.09375,559696.625,646796.4375,761367.5,635537.625,2729019.0625,1299199.375,870379.09375,0.0,473979.0,809218.875,309329.9375,0.0,2583841.375,0.0,0.0,0.0,2053740.6875,1088378.875,0.0,1563579.21875,735003.0,0.0,0.0,0.0,812443.0625,818753.0625,0.0,2319525.625,1013457.125,507548.96875,1869267.9375,512378.34375,993909.5,1258411.5,523686.9375,704851.125,1448830.375,0.0,1178341.5,417392.25,3517903.0,1364230.96875,1151060.78125,488197.1875,1033352.875,1076054.84375,553646.9375,1299188.0625,1925533.4375,925199.5,0.0,540020.6875,870936.3125,1006488.1875,1512042.125,486665.03125,332845.03125,1279938.0625,0.0,2039081.5,829167.6875,3194885.0,1797960.3125,651576.5,0.0,1370614.375,0.0,0.0,1314747.0,3158812.4375,546432.25,806985.3125,1534442.875,612173.1875,427428.59375,1900455.8125,499919.0625,392757.3125,0.0,383401.46875,2906686.25,1397498.3125,493334.03125,2708522.3125,596536.0625,1572143.75,0.0,1192286.9375,1758875.90625,746833.375,0.0,1069356.0,844972.1875,0.0,2303154.9375,0.0,404448.8125,652578.59375,0.0,2615290.8125,3177109.75,377866.3125,3326514.75,1427309.125,1262664.96875,1374488.5625,246661.890625,2866536.5625,537807.3125,0.0,529819.0,893950.125,695613.40625,1548591.59375,340917.90625,0.0,1265159.28125,559989.125,1132016.4375,984018.0625
1280.81,1564928.375,1137292.25,299656.21875,276496.4375,575198.125,0.0,0.0,272934.9375,0.0,0.0,925173.125,1236981.375,460356.40625,0.0,0.0,500899.84375,0.0,0.0,1309069.1875,450154.8125,377138.25,604326.25,0.0,0.0,0.0,0.0,382607.46875,489645.875,741097.1875,0.0,1395101.0625,1521947.0,0.0,1905465.3125,553811.875,0.0,0.0,672279.125,0.0,0.0,0.0,2494669.5625,1669027.0625,744697.5,975238.3125,868711.0625,1216455.875,1754432.0625,0.0,723733.3125,0.0,546296.875,0.0,0.0,0.0,2079364.03125,363590.8125,0.0,1274710.125,0.0,0.0,730215.6875,321226.375,0.0,1402875.625,563017.3125,0.0,1157629.5625,484678.5625,0.0,0.0,0.0,0.0,268678.09375,627884.75,0.0,354837.5,0.0,359100.4375,0.0,724522.25,808323.75,0.0,0.0,0.0,0.0,425098.5625,830400.1875,0.0,0.0,0.0,548908.8125,519342.25,1724848.25,466098.9375,0.0,0.0,0.0,0.0,835128.625,0.0,603669.21875,413927.8125,629531.5,0.0,644889.4375,0.0,1048302.34375,0.0,0.0,1568366.5625,0.0,0.0,505476.65625,1071773.625,446197.6875,442589.5,561534.5,0.0,0.0,0.0,473834.3125,1206346.3125,0.0,827939.25,0.0,0.0,547232.1875,469344.90625,389664.125,0.0,1236088.875,0.0,0.0,0.0,0.0,355614.5625,0.0,584101.875,0.0,856823.25,756360.625,3577187.0625,560880.25,0.0,0.0,562580.375,560800.4375,0.0,0.0,1693329.6875,0.0,0.0,1866016.8125,640099.6875,0.0,829020.34375,0.0,395235.25,1404844.125,0.0,2086665.1875,1370722.5,464793.5,837663.5,0.0,638642.6875,0.0,0.0,527653.5625,1103608.6875,411949.71875,1653504.5,0.0,0.0,0.0,702430.75,0.0,0.0
1280.87,0.0,0.0,0.0,0.0,420687.75,0.0,0.0,0.0,613549.8125,0.0,793116.3125,1273452.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,382145.71875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,931534.0,487888.875,0.0,0.0,0.0,0.0,427224.0,0.0,0.0,0.0,575313.9375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1232750.5,354758.03125,0.0,814211.4375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,234409.84375,408186.84375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,349124.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,903672.0625,378829.75,0.0,0.0,0.0,0.0,0.0,610202.25,386430.96875,0.0,0.0,0.0,0.0,0.0,0.0,740748.5625,0.0,826185.8125,0.0,0.0,0.0,586178.0625,0.0,1191460.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,470302.4375,0.0,0.0,0.0,0.0,0.0,1365796.125,0.0,0.0,2371834.0,0.0,777512.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1993970.0,593459.25,0.0,598213.4375,0.0,483188.90625,0.0,0.0,385620.90625,0.0,0.0,711671.0625,0.0,0.0,1352071.25,0.0,522312.8125,0.0,756988.6875,0.0,0.0,0.0,0.0,0.0,909457.5625,0.0,0.0,0.0,0.0,0.0,502740.75
1280.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,454425.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,326649.96875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,321726.5625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,631085.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,849441.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,620401.6875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,610827.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1281.08,0.0,0.0,315685.875,0.0,0.0,0.0,0.0,246951.8125,0.0,0.0,389870.40625,0.0,0.0,0.0,0.0,0.0,524011.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,964503.25,639274.75,0.0,748018.5,0.0,0.0,759384.1875,0.0,0.0,507916.28125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,499912.65625,0.0,0.0,0.0,387957.40625,0.0,903973.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,530537.25,0.0,0.0,0.0,0.0,270688.71875,0.0,0.0,337487.78125,0.0,0.0,0.0,557626.0,0.0,0.0,0.0,417171.1875,0.0,0.0,754289.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,378828.21875,734987.3125,1239456.75,0.0,0.0,317856.375,389993.75,0.0,0.0,0.0,0.0,407786.625,1083759.875,439994.59375,0.0,805973.4375,801514.375,0.0,0.0,0.0,0.0,484732.3125,0.0,0.0,0.0,0.0,0.0,581768.25,1824431.5,555882.875,0.0,0.0,0.0,1035920.96875,0.0,0.0,709446.0625,0.0,0.0,777330.625,789083.1875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,644250.0625,470124.0625,1424746.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,369946.90625,0.0,0.0,692882.875,0.0,521920.09375,0.0,0.0,1053795.125,335861.75,0.0,0.0,0.0,1147707.65625,504954.25,0.0,0.0,0.0,0.0,566710.9375,0.0,0.0,0.0
1281.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,440979.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1281.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,462451.5625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,452612.53125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,724952.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1281.37,607179.8125,0.0,507402.75,318472.34375,464034.46875,0.0,0.0,0.0,0.0,0.0,424753.5625,1565962.625,1000488.5,1505528.25,0.0,523937.875,619831.875,0.0,453199.5,0.0,0.0,0.0,0.0,0.0,1203791.65625,0.0,0.0,0.0,0.0,667263.1875,886721.03125,360636.65625,536817.3125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,518534.4375,531282.1875,443979.53125,0.0,1538901.6875,528773.875,715261.0625,1680732.8125,511674.75,0.0,0.0,0.0,411651.1875,0.0,0.0,0.0,0.0,0.0,409381.59375,0.0,0.0,0.0,282134.53125,1320279.8125,0.0,0.0,403870.40625,0.0,354537.9375,0.0,1416408.90625,0.0,0.0,295251.5625,0.0,1250856.46875,0.0,0.0,0.0,0.0,603852.0625,463794.0625,636971.625,0.0,0.0,383391.59375,0.0,1039120.25,0.0,0.0,636189.9375,415874.15625,1185209.40625,0.0,717702.0625,0.0,0.0,1827035.25,0.0,842964.25,0.0,0.0,495055.375,0.0,0.0,1202307.4375,467660.1875,2666822.0625,0.0,595165.1875,0.0,1687657.3125,539860.75,0.0,531752.8125,0.0,530359.625,463456.375,0.0,0.0,3166449.25,747750.9375,1000964.75,528127.625,718928.8125,0.0,0.0,0.0,0.0,0.0,351039.59375,0.0,3937644.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1821874.875,0.0,1695360.75,0.0,2241810.15625,8442999.0,1667834.46875,559203.25,0.0,0.0,587048.5,507344.0625,0.0,757438.25,0.0,0.0,0.0,534715.9375,499146.46875,0.0,373633.1875,0.0,481398.46875,437290.46875,0.0,284804.28125,827474.125,0.0,0.0,0.0,443314.84375,0.0,0.0,356678.25,384612.625,571004.25,0.0,0.0,506363.84375
1281.62,2147049.3125,418320.96875,644686.34375,0.0,0.0,0.0,0.0,284913.3125,1215914.46875,0.0,1979334.25,2224234.96875,605390.4375,1388102.1875,0.0,1130969.8125,2370236.875,394186.21875,796505.0,1100984.46875,1516850.0625,784426.8125,0.0,0.0,544888.5625,0.0,1078640.46875,957655.9375,1147300.8125,0.0,350727.0625,564293.25,844424.5,2810502.625,1701355.3125,0.0,1176986.0625,2066340.6875,0.0,0.0,0.0,1837399.0,0.0,609784.8125,1636106.75,369016.34375,653180.25,1695137.375,685016.9375,383684.96875,288369.0625,330620.5,380137.5,733692.75,963995.875,1065438.125,0.0,585323.0,458507.34375,995632.375,0.0,0.0,0.0,735404.4375,691904.3125,447531.1875,0.0,1042746.46875,1481134.84375,349641.0625,1136451.4375,1248363.21875,0.0,0.0,615690.75,0.0,451956.0625,551515.1875,719288.5,364280.1875,609873.0,455388.625,0.0,660607.125,1939086.5,599703.1875,1166002.53125,1981742.0,0.0,772011.6875,383249.65625,525677.875,601387.1875,0.0,982082.25,871864.875,0.0,606814.5625,1620121.6875,824908.0625,878554.03125,494797.375,0.0,1926032.1875,733390.0625,844677.25,423950.34375,1806169.0625,1802903.6875,362117.0,1838781.5,1630350.75,2620136.25,993680.59375,843333.125,0.0,2423160.8125,0.0,1903387.3125,1433885.0,3136588.625,835571.4375,0.0,0.0,1379887.5625,0.0,422713.125,748017.8125,2399361.375,989738.4375,495381.15625,1202951.25,0.0,394522.75,1287527.4375,757478.625,0.0,0.0,373713.1875,2332908.25,1293176.5,1199846.84375,1449096.8125,294270.3125,1200180.375,0.0,734639.3125,1034932.125,1319274.625,0.0,472594.5625,1015460.09375,0.0,4101778.8125,596304.6875,0.0,0.0,1233336.875,1797255.3125,6077743.6875,414662.40625,2940963.5,530438.4375,315965.96875,1827115.59375,333255.65625,752978.6875,1151688.59375,1267310.5625,1130113.9375,1380117.8125,745691.1875,0.0,327688.9375,828183.28125,1087327.78125,1850291.8125,452313.8125,648231.1875
1281.83,1245991.1875,554206.1875,0.0,278787.6875,555232.625,0.0,0.0,570364.1875,0.0,0.0,0.0,0.0,0.0,577077.75,0.0,1256450.5625,0.0,0.0,513508.03125,582455.3125,677985.4375,1049152.03125,0.0,0.0,424991.25,0.0,0.0,627952.6875,510834.84375,0.0,0.0,367048.21875,477791.875,3055612.5625,392042.625,0.0,577636.375,1782570.875,0.0,732953.5,0.0,1224874.25,433229.0,0.0,1451236.625,522627.09375,0.0,666705.0625,540434.5625,323758.03125,0.0,382958.6875,373511.6875,0.0,0.0,544292.625,0.0,788442.84375,1415090.6875,0.0,1006720.875,702065.25,422593.34375,1813500.4375,1437701.71875,1014404.0,0.0,1267840.0,0.0,300401.15625,762547.6875,1665889.1875,0.0,0.0,0.0,501382.6875,583437.9375,0.0,524694.9375,0.0,566775.25,1110009.15625,1297703.0625,0.0,879835.75,0.0,828008.875,1180780.03125,0.0,0.0,366280.78125,0.0,1282159.375,1649148.75,0.0,370953.625,0.0,0.0,1065838.75,1283536.375,0.0,347903.96875,0.0,1720473.0,0.0,2125187.1875,0.0,833404.375,387633.28125,0.0,595755.875,0.0,513660.90625,844877.25,532470.6875,388788.84375,670588.0625,430287.28125,0.0,1675065.875,1975568.0,1758514.375,612087.1875,0.0,1097716.5,0.0,0.0,477065.0,465561.6875,1009386.25,525488.6875,0.0,488195.84375,667644.8125,2093487.0625,1010138.71875,698927.5,0.0,425968.03125,1392180.75,1505992.375,605524.5625,3011644.9375,548628.1875,1204132.8125,0.0,0.0,0.0,518643.09375,0.0,0.0,0.0,0.0,707627.125,486829.65625,0.0,1413265.125,834607.875,737954.0625,678505.875,394448.46875,2264299.25,879617.3125,449338.84375,1400061.875,0.0,2296575.125,422506.96875,0.0,1210886.90625,1148713.03125,0.0,1505730.875,357819.84375,272429.65625,517360.59375,902424.4375,0.0,0.0
1281.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,546956.5625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,738517.25,0.0,0.0,0.0,0.0,0.0,0.0,582546.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,546805.9375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,716773.5,0.0,0.0,318666.15625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,331384.5,0.0,459043.96875,0.0,0.0,0.0,0.0,0.0,0.0,322008.28125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,549167.3125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,634594.6875,0.0,605559.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,476012.1875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1466374.0,0.0,0.0,0.0,0.0,0.0,355829.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1001560.875,0.0,0.0,0.0,0.0,0.0,0.0
